Street1,Street2,City,State,Zip,Latitude,Longitude,County,Census Year,ACS Demographics/Population by age range/Total/Value,ACS Demographics/Race and ethnicity/Not Hispanic or Latino/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: White alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Black or African American alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: American Indian and Alaska Native alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Asian alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Some other race alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Two or more races/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Two or more races: Two races including Some other race/Percentage,"ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races/Percentage",ACS Demographics/Race and ethnicity/Hispanic or Latino/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: White alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Black or African American alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: American Indian and Alaska Native alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Asian alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Some other race alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Two or more races/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Two or more races: Two races including Some other race/Percentage,"ACS Demographics/Race and ethnicity/Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races/Percentage",ACS Economics/Number of households/Total/Value,ACS Economics/Median household income/Total/Value,"ACS Economics/Household income/Less than $10,000/Value","ACS Economics/Household income/$10,000 to $14,999/Value","ACS Economics/Household income/$15,000 to $19,999/Value","ACS Economics/Household income/$20,000 to $24,999/Value","ACS Economics/Household income/$25,000 to $29,999/Value","ACS Economics/Household income/$30,000 to $34,999/Value","ACS Economics/Household income/$35,000 to $39,999/Value","ACS Economics/Household income/$40,000 to $44,999/Value","ACS Economics/Household income/$45,000 to $49,999/Value","ACS Economics/Household income/$50,000 to $59,999/Value","ACS Economics/Household income/$60,000 to $74,999/Value","ACS Economics/Household income/$75,000 to $99,999/Value","ACS Economics/Household income/$100,000 to $124,999/Value","ACS Economics/Household income/$125,000 to $149,999/Value","ACS Economics/Household income/$150,000 to $199,999/Value","ACS Economics/Household income/$200,000 or more/Value",ACS Housing/Median value of owner-occupied housing units/Total/Value,"ACS Housing/Value of owner-occupied housing units/Less than $10,000/Value","ACS Housing/Value of owner-occupied housing units/$10,000 to $14,999/Value","ACS Housing/Value of owner-occupied housing units/$15,000 to $19,999/Value","ACS Housing/Value of owner-occupied housing units/$20,000 to $24,999/Value","ACS Housing/Value of owner-occupied housing units/$25,000 to $29,999/Value","ACS Housing/Value of owner-occupied housing units/$30,000 to $34,999/Value","ACS Housing/Value of owner-occupied housing units/$35,000 to $39,999/Value","ACS Housing/Value of owner-occupied housing units/$40,000 to $49,999/Value","ACS Housing/Value of owner-occupied housing units/$50,000 to $59,999/Value","ACS Housing/Value of owner-occupied housing units/$60,000 to $69,999/Value","ACS Housing/Value of owner-occupied housing units/$70,000 to $79,999/Value","ACS Housing/Value of owner-occupied housing units/$80,000 to $89,999/Value","ACS Housing/Value of owner-occupied housing units/$90,000 to $99,999/Value","ACS Housing/Value of owner-occupied housing units/$100,000 to $124,999/Value","ACS Housing/Value of owner-occupied housing units/$125,000 to $149,999/Value","ACS Housing/Value of owner-occupied housing units/$150,000 to $174,999/Value","ACS Housing/Value of owner-occupied housing units/$175,000 to $199,999/Value","ACS Housing/Value of owner-occupied housing units/$200,000 to $249,999/Value","ACS Housing/Value of owner-occupied housing units/$250,000 to $299,999/Value","ACS Housing/Value of owner-occupied housing units/$300,000 to $399,999/Value","ACS Housing/Value of owner-occupied housing units/$400,000 to $499,999/Value","ACS Housing/Value of owner-occupied housing units/$500,000 to $749,999/Value","ACS Housing/Value of owner-occupied housing units/$750,000 to $999,999/Value","ACS Housing/Value of owner-occupied housing units/$1,000,000 to $1,499,999/Value","ACS Housing/Value of owner-occupied housing units/$1,500,000 to $1,999,999/Value","ACS Housing/Value of owner-occupied housing units/$2,000,000 or more/Value"
21 Flushing Ave,,Brooklyn,NY,11205,40.698279,-73.978418,Kings County,2019,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
345 Eastern Boulevard,,Canandaigua,NY,14424,42.875576,-77.255075,Ontario County,2019,385,1,0.935,0,0,0,0,0,0.065,0,1,0,0,0,0,0,0,0,0,0,0,197,51691,0,0,0,0,32,9,31,15,0,17,38,8,10,18,5,14,0,15,7,0,0,30,0,15,0,10,0,0,0,0,0,0,16,0,13,6,23,9,3,0,0,0,0
345 Colonnade Blvd,,State College,PA,16803,40.811645,-77.908084,Centre County,2019,526,1,0.414,0.171,0,0.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,39040,0,0,0,26,15,22,99,0,10,28,20,0,0,0,28,0,139100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,20,0,0,0,0,0,0,0
201 William Street,,Williamsport,PA,17701,41.237788,-77.005189,Lycoming County,2019,557,0.978,0.802,0.15,0.026,0,0,0,0.022,0,1,0.022,0,0.5,0,0,0,0.5,0,0,0,240,29750,26,17,32,14,33,42,0,8,0,0,19,0,9,21,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
6789 East Genesee Street,,Fayetteville,NY,13066,43.033137,-76.053359,Onondaga County,2019,596,0.963,0.895,0.073,0,0.031,0,0,0,0,0,0.037,1,0,0,0,0,0,0,0,0,239,101607,0,8,0,17,0,0,0,0,32,0,28,30,28,33,43,20,273100,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,6,19,36,67,46,9,17,0,0,0,0
300 Hamilton Street,,Geneva,NY,14456,42.859849,-76.996368,Ontario County,2019,614,0.985,0.98,0,0,0.02,0,0,0,0,0,0.015,1,0,0,0,0,0,0,0,0,276,73750,9,0,7,10,0,32,27,0,0,21,32,49,47,16,26,0,98900,0,4,0,0,0,0,0,0,6,27,25,35,41,59,23,38,0,9,0,0,0,0,0,0,0,0
1 Loop Road,,Auburn,NY,13021,42.931996,-76.563883,Cayuga County,2019,622,0.979,0.765,0.235,0,0,0,0,0,0,0,0.021,1,0,0,0,0,0,0,0,0,364,40968,22,64,15,17,20,7,25,31,53,10,0,57,15,9,0,19,95700,0,0,0,0,0,0,0,0,0,0,10,14,21,8,0,0,0,10,0,0,0,0,0,0,0,9
800 West Miller St.,,Newark,NY,14513,43.045279,-77.110212,Wayne County,2019,694,0.958,0.974,0,0,0,0,0,0.026,0,1,0.042,1,0,0,0,0,0,0,0,0,285,55486,0,0,15,0,0,0,23,35,0,84,66,43,0,19,0,0,89100,0,0,0,0,0,0,0,0,44,16,37,34,56,52,17,0,0,0,0,0,0,0,0,0,0,0
2200 Ridge Road East,,Rochester,NY,14622,43.204947,-77.558599,Monroe County,2019,702,0.98,1,0,0,0,0,0,0,0,0,0.02,0.5,0,0,0,0,0,0.5,0,1,350,74643,0,0,10,0,28,0,22,46,7,22,41,71,30,47,26,0,113500,0,12,0,0,0,0,0,0,0,0,0,22,30,184,40,6,8,7,10,0,0,7,0,0,0,0
1100 Clemens Center Pkwy,,Elmira,NY,14901,42.105356,-76.808883,Chemung County,2019,741,0.9,0.745,0.099,0,0,0,0,0.156,0,1,0.1,1,0,0,0,0,0,0,0,0,287,25707,40,25,35,37,42,0,7,5,8,12,40,27,9,0,0,0,48500,0,0,9,8,0,13,0,27,23,8,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1 Village Drive,,King of Prussia,PA,19406,40.084013,-75.402143,Montgomery County,2019,760,0.959,0.361,0.032,0,0.583,0,0,0.025,1,0,0.041,0.226,0,0,0,0,0,0.774,0,1,401,92560,0,0,10,8,0,0,7,14,10,60,62,50,71,25,37,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7952 Brewerton Road,,Cicero,NY,13039,43.155648,-76.121155,Onondaga County,2019,762,0.95,1,0,0,0,0,0,0,0,0,0.05,1,0,0,0,0,0,0,0,0,270,51176,0,0,24,12,16,32,17,0,26,17,33,57,36,0,0,0,107600,0,14,0,0,0,0,0,0,0,0,45,0,33,113,31,17,0,0,0,0,0,0,0,0,0,0
